                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.84069,                0.48117,                0.94907,                0.93563,                0.87613,                0.91874,                0.68677,                0.88058,                0.40084,                 1.0563,             0.00037974,             0.00037974,             0.00037974
                     81,                0.83994,                0.47943,                0.94688,                0.94479,                0.87598,                0.92127,                0.68383,                0.89118,                0.39406,                 1.0542,             0.00036324,             0.00036324,             0.00036324
                     82,                 0.8277,                0.48193,                 0.9478,                   0.93,                0.87906,                 0.9224,                0.68965,                0.88354,                0.39521,                 1.0504,             0.00034674,             0.00034674,             0.00034674
                     83,                0.84293,                0.48032,                0.94876,                0.93424,                0.88305,                0.92003,                0.68809,                0.87641,                0.38918,                 1.0545,             0.00033023,             0.00033023,             0.00033023
                     84,                0.83037,                0.47959,                0.94262,                0.92965,                0.87903,                0.92016,                0.69345,                0.88506,                0.38764,                  1.054,             0.00031373,             0.00031373,             0.00031373
                     85,                0.82843,                0.47415,                0.94403,                 0.9395,                 0.8799,                0.91995,                0.68707,                0.88891,                0.39156,                  1.061,             0.00029723,             0.00029723,             0.00029723
                     86,                0.81013,                0.46547,                0.93987,                0.94203,                0.87845,                 0.9211,                0.68814,                0.88224,                 0.3871,                 1.0584,             0.00028072,             0.00028072,             0.00028072
                     87,                0.81062,                0.46388,                0.94001,                0.93717,                0.88047,                0.91797,                0.68973,                0.88653,                0.38632,                 1.0595,             0.00026422,             0.00026422,             0.00026422
                     88,                0.81831,                0.46842,                 0.9448,                 0.9458,                0.88095,                0.92033,                0.69167,                 0.8781,                 0.3813,                 1.0532,             0.00024772,             0.00024772,             0.00024772
                     89,                0.80839,                0.46266,                 0.9388,                0.93837,                0.88281,                0.91899,                0.68939,                0.87561,                 0.3907,                 1.0505,             0.00023121,             0.00023121,             0.00023121
                     90,                0.81324,                0.46452,                0.93912,                 0.9373,                0.88425,                0.92228,                0.68961,                0.89006,                0.38752,                 1.0564,             0.00021471,             0.00021471,             0.00021471
                     91,                 0.7629,                0.40237,                0.90563,                0.93883,                0.87572,                0.91617,                0.68371,                0.89207,                0.38871,                 1.0566,             0.00019821,             0.00019821,             0.00019821
                     92,                0.75983,                0.40044,                0.90639,                0.94548,                0.87787,                0.91933,                0.68873,                0.88064,                0.38242,                 1.0546,              0.0001817,              0.0001817,              0.0001817
                     93,                0.75145,                0.39137,                0.89984,                0.94489,                0.88437,                0.92237,                0.69123,                0.88844,                 0.3835,                 1.0628,              0.0001652,              0.0001652,              0.0001652
                     94,                0.73883,                0.38619,                0.89559,                0.93729,                0.88459,                 0.9214,                0.69301,                0.88372,                0.37883,                 1.0579,              0.0001487,              0.0001487,              0.0001487
                     95,                0.74578,                0.39203,                0.89544,                0.93812,                0.88021,                0.91926,                0.69313,                 0.8743,                0.37727,                 1.0547,             0.00013219,             0.00013219,             0.00013219
                     96,                0.74294,                0.38797,                0.89381,                0.93659,                0.88248,                0.91913,                0.69158,                0.88595,                0.38013,                 1.0612,             0.00011569,             0.00011569,             0.00011569
                     97,                0.72583,                0.37983,                0.89176,                0.93881,                0.88738,                0.92238,                0.68876,                 0.8896,                 0.3797,                 1.0622,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.73247,                0.38405,                0.89489,                0.93885,                0.88552,                0.92156,                0.69709,                0.87584,                0.37599,                 1.0587,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.71948,                0.37552,                0.88676,                0.93496,                0.88085,                0.92091,                0.69324,                0.87821,                0.37565,                 1.0566,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.71963,                0.37677,                0.89099,                0.94066,                 0.8815,                0.92129,                0.69615,                0.87844,                0.37551,                 1.0585,             4.9677e-05,             4.9677e-05,             4.9677e-05
